species name (Kudrna et al. 2011);full species name (Kudrna et al. 2011);Family;range.size;temp.mean;temp.ci.95.low;temp.ci.95.up;temp.min;temp.max;temp.sd;temp.median;range.ann.temp.mean;range.ann.temp.ci.95.low;range.ann.temp.ci.95.up;range.ann.temp.min;range.ann.temp.max.;range.ann.temp.sd;range.ann.temp.median;precip.mean;precip.ci.95.low;precip.ci.95.up;precip.min;precip.max;precip.sd;precip.median;range.ann.precip.mean;range.ann.precip.ci.95.low;range.ann.precip.ci.95.up;range.ann.precip.min;range.ann.precip.max;range.ann.precip.sd;range.ann.precip.median;gdd.feb.mean;gdd.feb.ci.95.low;gdd.feb.ci.95.up;gdd.feb.min;gdd.feb.max;gdd.feb.sd;gdd.feb.median;gdd.apr.mean;gdd.apr.ci.95.low;gdd.apr.ci.95.up;gdd.apr.min;gdd.apr.max;gdd.apr.sd;gdd.apr.median;gdd.june.mean;gdd.june.ci.95.low;gdd.june.ci.95.up;gdd.june.min;gdd.june.max;gdd.june.sd;gdd.june.median;gdd.aug.mean;gdd.aug.ci.95.low;gdd.aug.ci.95.up;gdd.aug.min;gdd.aug.max;gdd.aug.sd;gdd.aug.median;swc.mean;swc.ci.95.low;swc.ci.95.up;swc.min;swc.max;swc.sd;swc.median
Brenthis daphne;Brenthis daphne (Bergsträsser, 1780);Nymphalidae;323;10.6;10.28;10.92;0.85;16.68;2.9;10.76;18.27;18.01;18.54;13.37;23.91;2.4;17.94;822.57;795.27;849.87;424.76;1782.31;249.4;772.7;62.4;59.6;65.19;16.83;183.66;25.53;57.27;67.68;61.04;74.32;0.4;295.31;60.66;42.15;290.79;274.14;307.43;3.08;737.55;152.02;274.86;938.93;905.86;972;100.8;1661.59;302.12;953.48;1858.86;1806.36;1911.37;372.71;2907.64;479.64;1888.92;0.42;0.41;0.43;0.22;0.79;0.11;0.42
Brenthis hecate;Brenthis hecate ([Schiffermüller], 1775);Nymphalidae;190;10.62;10.26;10.98;1.88;16.31;2.51;10.62;18.91;18.6;19.22;13.28;23.91;2.19;18.95;794.77;756.85;832.68;424.76;1782.31;264.96;730.73;59.91;56.59;63.24;26.81;162.53;23.22;54.68;57.62;50.55;64.68;0.78;247.6;49.4;38.02;280.66;261.68;299.65;10.1;685.89;132.64;270.44;942.49;904.03;980.95;150.93;1610.23;268.73;969.16;1879.87;1818.5;1941.24;489.9;2855.47;428.84;1925.77;0.4;0.38;0.41;0.21;0.84;0.12;0.4
Brenthis ino;Brenthis ino (Rottemburg, 1775);Nymphalidae;699;6.86;6.64;7.08;-1.05;14.36;3;7.54;19.6;19.38;19.82;11.39;27.63;3.02;19.33;741.56;724.53;758.58;424.76;1797.99;229.25;662.89;51.79;50.38;53.19;16.83;150.88;18.92;49.07;28.82;26.79;30.85;0.07;235.4;27.36;20.68;136.59;129.05;144.13;0.11;591.11;101.52;128.66;622.5;605.35;639.66;68.19;1371.8;230.95;638.77;1341.95;1314.08;1369.82;253.1;2525.24;375.28;1365.69;0.44;0.43;0.45;0.22;0.84;0.11;0.43
Brintesia circe;Brintesia circe (Fabricius, 1775);Nymphalidae;416;11.07;10.81;11.34;1.28;16.75;2.74;11.03;17.96;17.75;18.18;11.35;23.91;2.24;17.71;796.98;772.79;821.17;407.97;1782.31;250.97;744.72;65.99;62.96;69.02;19.66;223.21;31.47;58.05;78.85;72.39;85.31;0.4;317.4;67.02;52.33;316.88;301.42;332.34;3.08;808.53;160.41;287.61;980.21;952.18;1008.23;100.8;1710.26;290.83;970.76;1924.13;1880.32;1967.93;408.98;2982.26;454.5;1915.75;0.41;0.4;0.42;0.21;0.84;0.11;0.41
Cacyreus marshalli;Cacyreus marshalli Butler, 1898;Lycaenidae;33;14.13;13.23;15.02;8.68;18.35;2.52;14.43;15.39;14.89;15.9;11.23;18.15;1.43;15.41;680.76;615.67;745.85;260.25;1016.48;183.57;686.74;66.66;57.96;75.36;31.51;125.41;24.55;61.12;206.63;166.32;246.94;28.22;419.28;113.68;172.92;577.48;489.19;665.77;115.39;1013.21;248.99;524.77;1324.26;1191.17;1457.34;547.07;2004.92;375.32;1303.69;2402;2222.01;2582;1303.63;3353.42;507.62;2506.4;0.37;0.34;0.4;0.15;0.5;0.08;0.39
Callophrys avis;Callophrys avis Chapman, 1909;Lycaenidae;37;14.57;13.88;15.25;8.68;17.93;2.06;14.82;14.74;13.96;15.52;9.98;18.87;2.34;14.98;785.4;703.32;867.47;449.38;1564.51;246.17;736.25;100.86;87.52;114.2;42.59;205.57;40.01;95.25;229.36;191.68;267.05;28.22;437.3;113.02;184.13;631.99;553;710.97;115.39;1033.83;236.9;615.84;1386.47;1275.02;1497.91;547.07;1942.52;334.26;1433.14;2467.89;2324.35;2611.42;1303.63;3207.75;430.5;2506.4;0.41;0.37;0.44;0.26;0.61;0.1;0.41
Callophrys rubi;Callophrys rubi (Linnaeus, 1758);Lycaenidae;1192;8.57;8.33;8.8;-3.1;18.41;4.08;8.68;18.33;18.1;18.56;8.58;29.55;4.05;18.19;780.87;762.52;799.23;315.7;3042.73;323;683.95;61.2;59.35;63.04;16.83;247.18;32.41;52.67;60.79;56.31;65.26;0.07;450.89;78.67;29.69;227;215.55;238.44;0.3;1087.91;201.38;187.26;774.05;752.78;795.32;84.53;2042.82;374.34;733.16;1565.77;1532.43;1599.12;326.27;3353.42;586.8;1501.01;0.44;0.44;0.45;0.15;0.85;0.13;0.43
Carcharodus alceae;Carcharodus alceae (Esper, 1780);Hesperiidae;615;11.14;10.89;11.4;0.85;18.41;3.23;10.62;17.86;17.63;18.09;9.98;24.3;2.86;17.64;746.08;728.7;763.47;363.79;1682.89;219.51;696.98;65.72;63.15;68.29;16.83;205.57;32.45;56.94;95.41;87.36;103.47;0.97;448.51;101.68;46.98;348.44;330.81;366.06;5.38;1087.91;222.56;275.5;1023.42;994.75;1052.09;111.96;2042.82;362.01;945.92;1961.59;1918.87;2004.3;372.71;3353.42;539.4;1886.1;0.4;0.39;0.41;0.17;0.81;0.1;0.39
Carcharodus baeticus;Carcharodus baeticus (Rambur, 1840);Hesperiidae;56;13.12;12.2;14.05;1.7;18.41;3.44;13.61;16.6;16.17;17.03;11.51;19.17;1.6;17.08;708.57;642.38;774.76;407.97;1544;247.17;637.13;71.12;63.06;79.19;34.1;167.15;30.1;62.86;154.23;124.54;183.91;0.97;448.51;110.84;131.84;474.6;404.41;544.79;7.36;1087.91;262.1;466.2;1187.45;1071.13;1303.77;149.95;2042.82;434.35;1216.04;2244.75;2076.41;2413.1;460.19;3309.74;628.63;2284.18;0.37;0.34;0.4;0.24;0.79;0.11;0.34
Carcharodus flocciferus;Carcharodus flocciferus (Zeller, 1847);Hesperiidae;277;9.92;9.56;10.28;1.28;17.56;3.06;10.08;18.56;18.27;18.84;13.37;23.91;2.41;18.33;844.02;813.11;874.92;407.97;1682.89;261.27;790.47;64.84;61.88;67.8;21.55;162.53;25.06;59.22;58.02;50.62;65.42;0.4;358.6;62.55;32.51;262.17;243.54;280.8;3.08;866.42;157.49;237.38;883.42;846.74;920.1;100.8;1798.78;310.14;898.83;1765.86;1707.28;1824.44;408.98;3062.91;495.26;1797.06;0.44;0.43;0.46;0.22;0.81;0.13;0.43
Carcharodus lavatherae;Carcharodus lavatherae (Esper, 1783);Hesperiidae;146;10.12;9.61;10.63;0.85;17.91;3.14;10.51;18.07;17.71;18.43;11.39;22.59;2.21;17.73;846.55;805.8;887.31;407.97;1544;249.14;808.13;61.64;57.9;65.38;26.3;157.39;22.86;56.91;59.65;49.65;69.65;0.78;448.51;61.15;39.13;265.28;239.06;291.5;5.38;1064.24;160.29;254.34;874.95;820.98;928.92;111.96;1967.07;329.94;894.65;1764.23;1677.77;1850.69;372.71;3159.29;528.58;1824.04;0.43;0.41;0.44;0.22;0.79;0.12;0.43
Carcharodus orientalis;Carcharodus orientalis Reverdin, 1913;Hesperiidae;54;13.48;12.92;14.04;8.77;18.17;2.05;13.51;18.27;17.74;18.8;13.76;23.89;1.95;18.25;676.4;627.59;725.22;482.4;1410.8;178.85;620.77;80.65;70.23;91.07;30.81;183.66;38.18;77.32;119.68;98.19;141.18;16.7;343.48;78.76;96.1;432.99;387.42;478.57;142.88;888.83;166.97;405.01;1251.75;1181.01;1322.49;730.9;1924.22;259.17;1240.93;2353.91;2256;2451.82;1618.39;3273.26;358.71;2360.62;0.34;0.33;0.36;0.24;0.54;0.06;0.34
Carcharodus stauderi;Carcharodus stauderi Reverdin, 1913;Hesperiidae;2;18.14;17.67;18.61;18.1;18.17;0.05;18.14;15.66;9.3;22.01;15.16;16.16;0.71;15.66;704.69;534.94;874.44;691.33;718.05;18.89;704.69;147.69;89.81;205.56;143.13;152.24;6.44;147.69;352.88;233.43;472.34;343.48;362.29;13.3;352.88;897.01;793.12;1000.9;888.83;905.19;11.56;897.01;1915.98;1811.31;2020.64;1907.74;1924.22;11.65;1915.98;3244.94;2885.11;3604.76;3216.62;3273.26;40.05;3244.94;0.35;0.3;0.4;0.35;0.36;0.01;0.35
Carterocephalus palaemon;Carterocephalus palaemon (Pallas, 1771);Hesperiidae;585;6.9;6.62;7.17;-2.59;13.96;3.35;7.91;19.7;19.4;20;9.17;29.55;3.68;19.44;785.21;761.22;809.2;432.32;3042.73;295.39;687.28;55.99;53.99;57.99;16.83;242.55;24.65;51.39;29.32;27.13;31.51;0.32;158.41;27.02;20.36;149.06;140.63;157.49;0.55;483.47;103.86;158.57;643.1;623.05;663.16;92.27;1334.5;246.96;691.29;1363.47;1330.93;1396.02;315.39;2494.56;400.8;1440.49;0.46;0.45;0.47;0.22;0.85;0.12;0.45
Carterocephalus silvicolus;Carterocephalus silvicolus (Meigen, 1829);Hesperiidae;222;5.19;4.85;5.53;-1.06;9.36;2.56;5.44;21.93;21.55;22.31;15.75;27.72;2.89;21.95;621.1;611.1;631.1;491.89;1094.37;75.6;617.11;47.09;45.76;48.41;24.27;81.43;10;47.15;19.21;17.89;20.53;0.49;50.51;9.98;18.19;83.66;75.2;92.13;1.46;228.79;64.02;59.81;533.08;510.87;555.29;105.42;890.8;167.93;494.56;1210.45;1175.18;1245.73;372.61;1775.99;266.69;1168.38;0.41;0.4;0.42;0.28;0.79;0.07;0.43
Celastrina argiolus;Celastrina argiolus (Linnaeus, 1758);Lycaenidae;1190;9.14;8.92;9.35;-2.2;18.64;3.81;9.01;18.23;18.02;18.44;8.58;29.55;3.64;18.2;763.1;747.57;778.64;315.7;2908.6;273.13;684.37;61.13;59.33;62.92;16.83;247.18;31.6;53.09;66.88;62.25;71.51;0.32;448.51;81.49;33.69;247.97;236.37;259.58;0.55;1064.24;204.05;199.44;823.54;802.81;844.26;92.27;1995.85;364.4;766.58;1647.86;1615.86;1679.86;315.39;3293.9;562.69;1563.31;0.43;0.42;0.44;0.15;0.85;0.11;0.42
Charaxes jasius;Charaxes jasius (Linnaeus, 1767);Nymphalidae;127;14.77;14.43;15.11;8.68;18.41;1.96;15.06;15.59;15.23;15.94;9.98;20.75;2.01;15.73;752.56;713.38;791.74;407.97;1564.51;223.11;701.03;98.12;91.6;104.64;34.33;205.57;37.15;93.21;213.03;194.46;231.6;21.31;450.89;105.77;206.75;601.94;563.97;639.91;115.39;1087.91;216.23;593.45;1401.47;1348.58;1454.36;547.07;2042.82;301.18;1429.4;2519.89;2450.45;2589.33;1303.63;3353.42;395.44;2586.44;0.4;0.38;0.41;0.24;0.61;0.08;0.38
Chazara briseis;Chazara briseis (Linnaeus, 1764);Nymphalidae;353;10.29;10.01;10.57;0.85;17.91;2.64;10.16;18.13;17.9;18.36;11.59;23.03;2.19;18.01;782.68;759.22;806.13;260.25;1682.89;224.08;734.09;58.27;55.75;60.79;16.83;162.53;24.07;53.82;63.71;57.11;70.31;0.97;448.51;63.04;40.33;274.26;258.51;290.01;5.38;1064.24;150.46;236.2;904.87;876.23;933.5;111.96;1967.07;273.55;866.86;1800.52;1755.59;1845.44;372.71;3159.29;429.14;1724.27;0.41;0.4;0.42;0.15;0.79;0.1;0.41
Chazara prieuri;Chazara prieuri (Pierret, 1837);Nymphalidae;8;12.51;11.12;13.9;9.33;14.43;1.66;12.88;17.79;17.39;18.19;17.12;18.73;0.48;17.73;493.25;423.4;563.11;408.39;638.45;83.56;466.61;39.7;36.38;43.01;34.1;47.27;3.97;39.41;99.84;62.11;137.56;25.53;160.71;45.12;102.46;368.7;253.23;484.18;133.37;555.16;138.12;377.17;1053.64;846.87;1260.41;617.55;1380.86;247.33;1073.59;2118.12;1827.02;2409.21;1493.96;2551.14;348.19;2156.38;0.26;0.24;0.28;0.24;0.3;0.02;0.26
Chilades trochylus;Chilades trochylus (Freyer, 1844);Lycaenidae;19;13.99;12.81;15.17;9.9;16.88;2.45;14.9;17.31;16.26;18.36;13.77;20.7;2.17;17.26;647.47;603.86;691.08;491.49;792.3;90.48;627.9;91.3;71.52;111.08;29.63;152.28;41.04;83.71;153.72;104.25;203.19;22.37;324.17;102.63;146.8;488.84;385.29;592.39;199.9;818.75;214.85;505.37;1313.66;1161.35;1465.98;848.72;1733.4;316.02;1401.43;2422.12;2219.98;2624.26;1761.57;2911.14;419.39;2589.81;0.33;0.31;0.35;0.24;0.39;0.05;0.35
Coenonympha arcania;Coenonympha arcania (Linnaeus, 1760);Nymphalidae;736;9.04;8.85;9.23;0.85;15.96;2.63;8.86;18.79;18.61;18.97;10.34;24.37;2.52;18.93;772.28;755.2;789.36;424.75;1782.31;236.03;705.38;58.04;56.28;59.81;16.83;205.57;24.38;53.92;44.25;41.05;47.45;0.4;273.45;44.18;27.9;218.37;209.22;227.52;3.08;703.98;126.47;195.66;805.92;787.13;824.71;100.8;1585.34;259.68;793.17;1635.37;1605.08;1665.66;372.71;2824.22;418.52;1612.06;0.42;0.41;0.43;0.21;0.84;0.11;0.41
Coenonympha corinna;Coenonympha corinna (Hübner, 1806);Nymphalidae;17;14.82;14.14;15.49;12.27;16.36;1.32;15.17;14.76;14.37;15.15;13.89;16.46;0.76;14.53;683;633.32;732.69;533.67;817.49;96.64;676.13;90.51;84.59;96.43;70.49;111.19;11.52;89.29;224.99;193.77;256.21;125.31;317.4;60.72;221.77;583.57;515.71;651.43;353.21;766.57;131.99;593.45;1343.71;1234.33;1453.09;951.36;1615.1;212.74;1407.59;2452.7;2299.57;2605.83;1888.21;2793.27;297.82;2553.67;0.39;0.37;0.41;0.32;0.45;0.04;0.4
Coenonympha dorus;Coenonympha dorus (Esper, 1782);Nymphalidae;107;12.67;12.1;13.24;3.25;18.41;2.96;13;15.7;15.29;16.11;9.5;18.72;2.13;16.02;814.81;762.47;867.16;371.92;1762.13;273.11;803.37;83.13;74.92;91.35;30.16;223.21;42.85;65.97;149.2;128.45;169.95;0.97;444.92;108.27;127.69;450;401.86;498.14;5.38;1087.91;251.16;425.12;1115.21;1038.76;1191.67;166.78;2042.82;398.9;1122.82;2113.09;2006.58;2219.61;599.03;3309.74;555.73;2123.28;0.41;0.39;0.43;0.22;0.63;0.1;0.42
Coenonympha gardetta;Coenonympha gardetta (Prunner, 1798);Nymphalidae;61;5.91;5.17;6.65;0.85;11.55;2.97;5.91;16.89;16.6;17.18;14.44;19.28;1.17;16.61;1219.68;1161.73;1277.63;769.72;1782.31;233.88;1217.35;78.47;73.27;83.66;35.25;118.59;20.98;81.83;16.74;12.09;21.39;0.4;71.01;18.78;8.89;96.34;75.35;117.33;3.08;310.04;84.71;77.48;457.17;395.29;519.05;100.8;968.44;249.72;454.9;1058.78;948.3;1169.26;372.71;1919.41;445.88;1074.28;0.63;0.6;0.67;0.4;0.84;0.13;0.68
Coenonympha glycerion;Coenonympha glycerion (Borkhausen, 1788);Nymphalidae;574;8.06;7.84;8.27;0.85;15.91;2.63;8.42;19.97;19.74;20.2;10.4;27.54;2.77;20.08;736.54;717.34;755.73;363.79;1782.31;234.13;655.8;57.6;55.86;59.35;16.83;205.57;21.26;53.6;31.4;28.89;33.9;0.4;291.74;30.52;23.05;181.36;172.57;190.14;3.08;705.12;107.18;180.35;745.03;725.4;764.66;100.8;1576.57;239.43;753.53;1540.16;1508.74;1571.58;372.71;2824.22;383.28;1551.61;0.42;0.41;0.43;0.17;0.84;0.12;0.41
Coenonympha hero;Coenonympha hero (Linnaeus, 1760);Nymphalidae;173;7.44;7.12;7.75;1.39;11.55;2.12;7.67;18.86;18.52;19.21;14.63;23.23;2.3;18.62;739.71;718.93;760.5;492.09;1215.36;138.52;701.76;46.27;43.86;48.68;16.83;96.07;16.05;45.55;31.88;28.81;34.95;3.75;114.51;20.46;25.35;144.41;131.89;156.92;13.45;366.73;83.39;131.53;651.56;626.99;676.12;242.68;994.25;163.69;654.37;1387.75;1349.78;1425.72;647.36;1910.81;253.02;1388.05;0.44;0.42;0.45;0.28;0.73;0.08;0.43
Coenonympha leander;Coenonympha leander (Esper, 1784);Nymphalidae;27;10.27;9.52;11.03;7.04;15.96;1.9;9.85;19.91;19.38;20.44;16.73;22.9;1.34;20.07;754.44;695.52;813.36;560.2;1098.63;148.95;727.37;62.12;49.27;74.96;30.81;162.53;32.46;50.61;37.69;21.27;54.12;10.32;218.54;41.53;26.17;240.49;195.66;285.33;104.9;660.75;113.34;214.59;915.61;829.82;1001.4;571.79;1585.34;216.87;874.73;1848.25;1716.87;1979.62;1285.17;2808.87;332.1;1807.23;0.34;0.31;0.37;0.24;0.49;0.07;0.32
Coenonympha oedippus;Coenonympha oedippus (Fabricius, 1787);Nymphalidae;52;10.2;9.53;10.86;3.25;13.75;2.38;10.75;18.03;17.3;18.75;13.92;22.55;2.6;17.99;925.25;848.32;1002.18;516.57;1682.89;276.32;951.15;56.85;50.51;63.2;19.66;118.59;22.79;52.58;63.04;48.03;78.05;0.97;205.66;53.91;38.91;284.06;246.59;321.54;7.36;575.76;134.6;282.72;914.91;843.16;986.67;169.91;1316.65;257.73;962.74;1797.86;1687.39;1908.33;599.03;2438.76;396.81;1877.34;0.47;0.44;0.51;0.21;0.79;0.13;0.48
Coenonympha orientalis;Coenonympha orientalis Rebel, 1910;Nymphalidae;11;9.13;7.85;10.42;5.99;12.11;1.91;9.36;19.16;18.79;19.53;18.37;20.14;0.55;18.99;1084.93;963.08;1206.77;792.3;1434.25;181.37;1147.36;76.17;54.92;97.42;51.94;141;31.63;61.49;26.49;13.38;39.6;5.53;73.91;19.51;23.97;185.28;128.54;242.02;66.81;352.04;84.46;196.99;773.89;641.41;906.37;457.33;1101.56;197.19;812.58;1620.47;1403.62;1837.33;1095.05;2151.72;322.79;1655.08;0.45;0.4;0.49;0.31;0.54;0.07;0.46
Coenonympha pamphilus;Coenonympha pamphilus (Linnaeus, 1758);Nymphalidae;1371;8.96;8.76;9.17;-3.1;18.64;3.89;8.91;18.13;17.92;18.33;8.58;29.55;3.85;18.16;793.06;775.94;810.18;315.7;3042.73;323.22;696.19;62.12;60.39;63.85;16.83;247.18;32.66;53.47;63.99;59.76;68.22;0.07;439.37;79.79;32.51;240.92;230.23;251.62;0.11;1035.05;201.82;195.26;804.59;784.99;824.2;68.19;1995.85;369.99;760.41;1615.01;1584.29;1645.73;253.1;3293.9;579.85;1554.07;0.44;0.43;0.45;0.15;0.86;0.13;0.43
Coenonympha rhodopensis;Coenonympha rhodopensis Elwes, 1900;Nymphalidae;39;10.72;10.03;11.41;6.3;15.96;2.13;10.64;19.16;18.68;19.63;16.73;22.59;1.47;19.31;856.65;782.24;931.05;482.4;1434.25;229.53;842.32;65.54;54.87;76.21;30.84;162.53;32.91;55.52;48.71;35.1;62.33;7.39;218.54;42;36.73;260.43;220.89;299.96;84.7;660.75;121.96;230.82;933.43;856.53;1010.33;531.49;1585.34;237.23;896.41;1884.66;1766.25;2003.07;1202.33;2808.87;365.27;1858.55;0.39;0.36;0.42;0.24;0.61;0.1;0.39
Coenonympha thyrsis;Coenonympha thyrsis (Freyer, 1846);Nymphalidae;9;16.54;15.98;17.11;15.4;18.04;0.74;16.45;14.05;13.75;14.35;13.43;14.69;0.39;14.01;735.73;680.72;790.73;582.85;827.14;71.56;744.38;147.29;136.8;157.77;117.18;162.69;13.64;150.15;299.62;263.41;335.83;239.29;399.94;47.11;289.52;769.18;697.92;840.45;640.86;961.31;92.71;753.7;1672.38;1572.51;1772.24;1465.46;1932.68;129.92;1653.2;2840.59;2710.28;2970.89;2562.35;3178.57;169.52;2810.37;0.38;0.36;0.39;0.32;0.4;0.02;0.38
Coenonympha tullia;Coenonympha tullia (Müller, 1764);Nymphalidae;553;6.36;6.11;6.61;-2.46;12.23;3.03;7.26;19.02;18.63;19.41;8.58;29.55;4.65;19.12;805.62;776.5;834.73;428.69;3042.73;348.54;681.66;54.88;52.55;57.2;16.83;242.55;27.84;47.76;27.44;25.77;29.1;0.48;113.04;19.93;20.82;118.32;111.59;125.06;1.74;362.8;80.65;114.09;565.52;549.34;581.69;149.8;1098.39;193.68;551.36;1236.47;1210;1262.94;460.19;2112.46;316.91;1240.72;0.48;0.47;0.49;0.28;0.84;0.12;0.45
Colias alfacariensis;Colias alfacariensis Ribbe, 1905;Pieridae;494;9.94;9.7;10.19;0.85;16.62;2.78;10.01;18.33;18.12;18.53;9.98;24.3;2.34;18.16;811.35;788.72;833.99;339.32;1782.31;256.04;754.32;58.58;56.43;60.73;16.83;163.4;24.3;53.46;55.66;50.87;60.46;0.4;424.67;54.2;36.32;260.07;247.43;272.72;3.08;983.39;143.05;237.31;877.48;852.02;902.95;100.8;1768.21;288.07;862.67;1756.06;1714.83;1797.29;372.71;2959.43;466.36;1723.53;0.43;0.41;0.44;0.17;0.84;0.13;0.42
Colias aurorina;Colias aurorina Herrich-Schäffer, 1850;Pieridae;14;12.35;11.35;13.35;9.78;15.96;1.73;12.15;18.04;17.32;18.75;16.01;20.19;1.24;18.25;774.59;682.9;866.29;560.2;1070.01;158.81;744.72;97.47;78.16;116.78;32.98;162.53;33.45;100.27;80.26;47.58;112.95;19.42;218.54;56.61;63.01;325.38;246.3;404.46;142.88;660.75;136.96;281.69;1065.14;937.11;1193.18;730.9;1585.34;221.75;1011.03;2098.63;1920.83;2276.42;1618.39;2808.87;307.93;2037.8;0.35;0.31;0.38;0.24;0.49;0.06;0.34
Colias balcanica;Colias balcanica Rebel, 1903;Pieridae;13;9.04;7.88;10.19;6.3;13.6;1.91;8.95;19.94;19.48;20.41;18.66;21.09;0.76;19.97;791.83;667.58;916.09;482.4;1110.63;205.62;693.58;44.9;38.03;51.76;29.63;72.06;11.37;42.83;24.13;11.22;37.04;8.92;89.83;21.36;19.32;188.29;133.61;242.97;100.33;440;90.48;186.88;790.84;662.76;918.93;536.89;1332.22;211.96;795.22;1642.96;1433.15;1852.77;1202.33;2503.48;347.2;1635.28;0.35;0.3;0.41;0.25;0.5;0.08;0.34
Colias chrysotheme;Colias chrysotheme (Esper, 1781);Pieridae;36;9.42;8.94;9.91;5.77;11.26;1.43;9.56;21.15;20.73;21.57;18.65;23.91;1.24;21.07;642.2;589.84;694.56;436.85;1131.46;154.76;591.23;54.67;48.75;60.59;33;97.84;17.49;50.1;25.82;22.46;29.18;6.03;41.95;9.93;24.48;238.02;214.31;261.73;68.79;337.54;70.07;239.83;924.44;865.3;983.59;470.28;1166.7;174.81;927.51;1818.99;1723.05;1914.93;1089.27;2238.44;283.55;1833.82;0.35;0.31;0.39;0.21;0.67;0.11;0.31
Colias crocea;Colias crocea (Geoffroy, 1785);Pieridae;1028;10.69;10.49;10.89;-0.1;18.64;3.33;10.16;17.12;16.92;17.32;8.58;24.33;3.32;17.21;798.28;780.9;815.66;260.25;2507.04;283.96;731.72;66.09;64.07;68.11;16.83;223.21;33.01;57.39;90.63;84.72;96.55;0.78;450.89;96.61;50.69;321.3;307.72;334.88;2.39;1087.91;221.86;251.4;951.81;928.53;975.09;111.96;2042.82;380.36;859.54;1843.76;1808.14;1879.38;372.71;3353.42;582.02;1716.99;0.43;0.42;0.44;0.15;0.84;0.13;0.42
Colias erate;Colias erate (Esper, 1803);Pieridae;138;10.03;9.71;10.36;5.42;14.89;1.92;10.4;21.12;20.88;21.37;17.3;24.38;1.47;21.03;632.06;613;651.12;363.79;988.37;113.23;604.7;54.11;51.49;56.74;25.22;104.97;15.59;53.22;34.06;30.14;37.98;7.21;162.94;23.29;28.94;262.46;247.74;277.19;82.36;536.93;87.49;277.32;975.38;940.95;1009.8;492.86;1430.98;204.5;1024.7;1908.51;1851.66;1965.36;1092.34;2598.43;337.72;1981.41;0.34;0.32;0.35;0.17;0.61;0.09;0.32
Colias hecla;Colias hecla Lefebvre, 1836;Pieridae;24;-2.26;-2.6;-1.91;-3.72;-0.62;0.82;-2.41;24.31;23.16;25.45;19.48;29.04;2.71;24.41;618.32;547.36;689.28;446.45;1094.37;168.05;574.72;49.19;43.94;54.44;25.45;69.31;12.43;51.1;4.73;2.85;6.62;0.98;19.3;4.47;3.48;7.5;4.64;10.37;1.3;29.61;6.79;5.37;129.89;115.82;143.96;84.53;188.4;33.33;128.69;440.99;404.86;477.11;324.99;594.85;85.55;444.62;0.64;0.61;0.68;0.55;0.79;0.08;0.64
Colias hyale;Colias hyale (Linnaeus, 1758);Pieridae;682;8.37;8.2;8.54;0.85;14.98;2.31;8.58;19.16;18.95;19.38;10.34;27.17;2.86;19.36;730.95;715.2;746.71;315.7;1782.31;209.56;669.71;52.14;50.73;53.56;16.83;118.59;18.82;49.94;35.03;32.88;37.18;0.78;218.33;28.62;27.15;188.86;181.48;196.23;5.38;631.36;98.07;186.08;754.62;738.01;771.24;111.96;1438.36;221.01;760.96;1548.09;1521.45;1574.74;372.71;2581.99;354.35;1550.02;0.42;0.41;0.42;0.15;0.84;0.11;0.41
Colias myrmidone;Colias myrmidone (Esper, 1781);Pieridae;94;8.27;7.92;8.62;1.76;11.26;1.7;8.25;20.47;20.19;20.74;16.23;23.14;1.34;20.59;741.98;691.04;792.92;436.85;1577.23;248.7;661.77;64.4;60.43;68.38;33;117.38;19.42;60.38;21.41;19.52;23.3;3.52;41.95;9.23;21.38;187.74;173;202.49;19.51;337.54;72;184.5;789.65;750.46;828.83;178.32;1148.66;191.32;783.79;1597.94;1533.61;1662.26;519.07;2173.85;314.05;1590.17;0.42;0.39;0.45;0.21;0.84;0.14;0.39
Colias palaeno;Colias palaeno (Linnaeus, 1760);Pieridae;417;3.62;3.31;3.93;-3.72;10.58;3.25;3.54;21.49;21.12;21.86;12.74;29.55;3.86;21.26;743.65;716.76;770.53;418.38;2606.14;279.33;635.64;54.38;52.31;56.46;25.45;218.38;21.55;48.58;13.83;12.83;14.82;0.07;69.65;10.33;12.29;56.93;51.32;62.54;0.3;278.51;58.26;34.54;410.39;392.1;428.69;84.45;910.18;190.06;403.19;985.43;952.93;1017.93;292.41;1819.33;337.63;1009.11;0.5;0.49;0.52;0.28;0.85;0.12;0.48
Colias phicomone;Colias phicomone (Esper, 1780);Pieridae;83;6.76;6.02;7.49;0.85;13.7;3.35;6.57;16.83;16.52;17.15;13.84;20.68;1.46;16.4;1125.5;1073.61;1177.4;530.2;1637.5;237.68;1077.52;75.14;70.64;79.63;38.08;118.59;20.59;78.15;28.34;20.27;36.4;0.4;158.66;36.93;13.34;129.27;102.54;156;3.08;499.63;122.42;89.38;526.89;461.59;592.18;100.8;1252.89;299.04;488.16;1181.53;1069.6;1293.45;372.71;2346.08;512.58;1159.36;0.59;0.56;0.62;0.3;0.84;0.14;0.59
